slug,name,agency,type,url,status,last_updated,listing_deadline,deadline_raw,amount,eligibility,source_quality,source_domain,C1,C2,C3,C4,C5,total,note
emp,Emerging Markets Program,Foreign Agricultural Service (FAS),Grant,https://ambrook.com/funding/emp,OK,2026-05-06,Due Aug 14,"Closed June 9, 2025","$500,000 max",EXPLICIT,SPECIFIC,fas.usda.gov,3,3,3,3,3,15,listing says Due Aug 14 page says Closed June 9 2025
florida-rural-and-family-lands-protection-program,Florida Rural and Family Lands Protection Program,Florida Department of Agriculture and Consumer Services (FDACS),Easement,https://ambrook.com/funding/florida-rural-and-family-lands-protection-program,OK,2025-10-29,Closed Jan 23,final day of application period as announced,"$400,000,000 total",EXPLICIT,SPECIFIC,fdacs.gov,3,2,3,2,3,13,listing says Closed Jan 23 page shows no dates
fact-conference-scholarships,Food Animal Concerns Trust Conference Scholarships,Food Animals Concerns Trust (FACT),Grant,https://ambrook.com/funding/fact-conference-scholarships,OK,2026-07-23,-,ABSENT,up to $400,EXPLICIT,GENERIC,docs.google.com,3,2,2,3,3,13,"Maximum Award Amount renders as January 1, 400"
farm-ownership-loans,Farm Ownership Loans,Farm Service Agency (FSA),Loan,https://ambrook.com/funding/farm-ownership-loans,OK,2026-07-23,-,ABSENT,"$600,000 direct",EXPLICIT,GENERIC,fsa.usda.gov,3,2,2,3,3,13,linked FSA fact sheet is for SDA loans not farm ownership
Farmer-bridge-assistance,Farmer Bridge Assistance (FBA),Farm Service Agency (FSA),Grant,https://ambrook.com/funding/Farmer-bridge-assistance,OK,2026-07-23,Closed Apr 17,"Closed April 17, 2026","$155,000 per producer",EXPLICIT,GENERIC,farmers.gov,3,3,2,3,3,14,links go to blank forms only
rafi-fcn,Farmers of Color Network Infrastructure Fund Grant,Rural Advancement Foundation International (RAFI),Grant,https://ambrook.com/funding/rafi-fcn,OK,2026-08-03,Closed Mar 24,"Closed March 24, 2026","$10,000",EXPLICIT,GENERIC,tfaforms.com,3,3,2,3,3,14,
farmers-advocating-for-organic-grant,Farmers Advocating For Organic Grant,Organic Valley,Grant,https://ambrook.com/funding/farmers-advocating-for-organic-grant,OK,2026-07-10,-,ABSENT,"$5,000-$50,000",EXPLICIT,GENERIC,grantinterface.com,3,2,2,3,3,13,
farm-start-seed-capital,Farmstart,Farm Credit East,Loan,https://ambrook.com/funding/farm-start-seed-capital,OK,2026-07-23,-,ABSENT,"$75,000",PROSE,GENERIC,farmcrediteast.com,3,2,2,3,2,12,
ecp,Emergency Conservation Program (ECP),Farm Service Agency (FSA),"Grant, Cost Share",https://ambrook.com/funding/ecp,OK,2026-07-23,-,ABSENT,"up to 75% cost share, $500,000",EXPLICIT,GENERIC,fsa.usda.gov,3,2,2,3,3,13,page carries unrelated FMPP/LFPP links
fpep,Fertilizer Investment & Expansion for Long-term Domestic Supply (FIELDS) Program,Rural Development (RD),Grant,https://ambrook.com/funding/fpep,OK,2026-07-23,Due Aug 17,"Due August 17, 2026","$100,000,000 vs $150 million",EXPLICIT,SPECIFIC,rd.usda.gov,3,3,3,3,3,15,maximum award contradicts itself
frontera-farmer-foundation,Frontera Farmer Foundation: Chicago Area Farms,Frontera,Grant,https://ambrook.com/funding/frontera-farmer-foundation,OK,2026-07-23,Closed Mar 5,"Closed March 5, 2026","$12,000 vs $15,000",EXPLICIT,SPECIFIC,rickbayless.com,3,3,3,3,3,15,maximum award contradicts itself
fscsc,Food Safety Certification for Specialty Crops Program (FSCSC),Farm Service Agency (FSA),Grant,https://ambrook.com/funding/fscsc,OK,2026-07-23,Closed Jan 31,"Closed January 31, 2026","up to $200 million, no per-op cap",EXPLICIT,SPECIFIC,farmers.gov,3,3,3,2,3,14,
food-supply-chain-guaranteed-loans,Food Supply Chain Guaranteed Loans,Rural Development (RD),Loan,https://ambrook.com/funding/food-supply-chain-guaranteed-loans,OK,2026-07-23,-,ABSENT,up to $40 million,PROSE,SPECIFIC,rd.usda.gov,3,2,3,3,2,13,
vermont-farmstead-best-management-practices-bmp,Farmstead Best Management Practices Program,"Vermont Agency of Agriculture, Food & Markets (VAAFM)",Grant,https://ambrook.com/funding/vermont-farmstead-best-management-practices-bmp,OK,2026-07-23,-,annually by April 1st,"$100,000",PROSE,SPECIFIC,agriculture.vermont.gov,3,3,3,3,2,14,
emergency-farm-loans,Emergency Farm Loans,Farm Service Agency (FSA),Loan,https://ambrook.com/funding/emergency-farm-loans,OK,2026-07-23,-,within eight months of designation,"$500,000",EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,3,3,15,
efrp,Emergency Forest Restoration Program (EFRP),Farm Service Agency (FSA),"Grant, Cost Share",https://ambrook.com/funding/efrp,OK,2026-07-23,-,ABSENT,"up to 75%, $500,000 per person",EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,3,3,14,
emergency-livestock-relief-program,Emergency Livestock Relief Program (ELRP),Farm Service Agency (FSA),Grant,https://ambrook.com/funding/emergency-livestock-relief-program,OK,2026-07-23,Closed Nov 21,"Closed November 21, 2025","$125,000 per program year",EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,3,3,15,
emergency-resilience-grant,Emergency Resilience Grant,American Farmland Trust (AFT),Grant,https://ambrook.com/funding/emergency-resilience-grant,OK,2026-07-23,Closed Apr 26,"Closed April 26, 2025","$10,000",EXPLICIT,SPECIFIC,farmland.org,3,3,3,3,3,15,
eqip,Environmental Quality Incentives Program (EQIP),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/eqip,OK,2026-07-23,-,accepted throughout the year,advance of 50% for underserved,EXPLICIT,SPECIFIC,nrcs.usda.gov,3,3,3,2,3,14,
flsp,Farm Labor Stabilization and Protection,U.S. Department of Agriculture (USDA),Grant,https://ambrook.com/funding/flsp,OK,2026-07-23,Closed Jan 3,"Closed January 3, 2024","$2,000,000",EXPLICIT,SPECIFIC,ams.usda.gov,3,3,3,3,3,15,
fsfl,Farm Storage Facility Loan Program (FSFL),Farm Service Agency (FSA),Loan,https://ambrook.com/funding/fsfl,OK,2026-07-23,-,ABSENT,"up to $500,000 per loan",EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,3,3,14,
farmer-veteran-fellowship,Farmer Veteran Coalition Fellowship Fund,Farmer Veteran Coalition (FVC),Grant,https://ambrook.com/funding/farmer-veteran-fellowship,OK,2026-07-23,Closed Feb 17,"Closed February 17, 2026","$5,000",EXPLICIT,SPECIFIC,farmvetco.org,3,3,3,3,3,15,
fruit-guys-community-fund,Fruit Guys Community Fund,The Fruit Guys,Grant,https://ambrook.com/funding/fruit-guys-community-fund,OK,2026-07-23,Closed Jan 30,"Closed January 30, 2026","up to $5,000",EXPLICIT,SPECIFIC,fruitguyscommunityfund.org,3,3,3,3,3,15,
expanding-agroforestry-production-and-markets-hawaii,Expanding Agroforestry Production and Markets - Hawai'i,The Nature Conservancy (TNC),Grant,https://ambrook.com/funding/expanding-agroforestry-production-and-markets-hawaii,OK,2026-08-03,Due Aug 11,"Due August 11, 2026","$450,000 through 2028",EXPLICIT,SPECIFIC,nature.org,3,3,3,3,3,15,
expanding-agroforestry-production-and-markets-lower-midwest,Expanding Agroforestry Production and Markets - Lower Midwest,The Nature Conservancy (TNC),Grant,https://ambrook.com/funding/expanding-agroforestry-production-and-markets-lower-midwest,OK,2026-08-03,Due Aug 11,"Due August 11, 2026","$450,000 through 2028",EXPLICIT,SPECIFIC,nature.org,3,3,3,3,3,15,
expanding-agroforestry-production-and-markets-mid-atlantic-central-appalachia,Expanding Agroforestry Production and Markets - Mid Atlantic / Central Appalachia,The Nature Conservancy (TNC),Grant,https://ambrook.com/funding/expanding-agroforestry-production-and-markets-mid-atlantic-central-appalachia,OK,2026-08-03,Due Aug 11,"Due August 11, 2026","$450,000 through 2028",EXPLICIT,SPECIFIC,nature.org,3,3,3,3,3,15,
expanding-agroforestry-production-and-markets-northeast,Expanding Agroforestry Production and Markets - Northeast,The Nature Conservancy (TNC),Grant,https://ambrook.com/funding/expanding-agroforestry-production-and-markets-northeast,OK,2026-08-03,Due Aug 11,"Deadline: August 11, 2026","$450,000 through 2028",EXPLICIT,SPECIFIC,nature.org,3,3,3,3,3,15,
expanding-agroforestry-production-and-markets-southeast,Expanding Agroforestry Production and Markets - Southeast,The Nature Conservancy (TNC),Grant,https://ambrook.com/funding/expanding-agroforestry-production-and-markets-southeast,OK,2026-08-03,Due Aug 11,"Due August 11, 2026","$450,000 through 2028",EXPLICIT,SPECIFIC,nature.org,3,3,3,3,3,15,
expanding-agroforestry-production-and-markets-upper-midwest,Expanding Agroforestry Production and Markets - Upper Midwest,The Nature Conservancy (TNC),Grant,https://ambrook.com/funding/expanding-agroforestry-production-and-markets-upper-midwest,OK,2026-08-03,Due Aug 11,"Due August 11, 2026","$450,000 through 2028",EXPLICIT,SPECIFIC,nature.org,3,3,3,3,3,15,
future-harvest-beginner-farmer-trainer-program,Future Harvest Beginner Farmer Trainer Program,Future Harvest,Education,https://ambrook.com/funding/future-harvest-beginner-farmer-trainer-program,OK,2026-07-23,Closed Nov 14,Closed Nov 14,ABSENT,PROSE,SPECIFIC,futureharvest.org,3,3,3,1,2,12,no funding amount
ccof-fof,Future Organic Farmers,California Certified Organic Farms (CCOF),Grant,https://ambrook.com/funding/ccof-fof,OK,2026-07-27,Opens Mar 22,Opens Mar 22,"$5,000",EXPLICIT,NONE,ABSENT,3,1,1,3,3,11,window March 17-April 18 2025 AND Deadline April 23 2027 contradictory
hebrew-general-needs-loan,General Needs Loan,Hebrew Free Loan Society (HFLS),Loan,https://ambrook.com/funding/hebrew-general-needs-loan,OK,2026-07-23,-,ABSENT,"$7,500",EXPLICIT,SPECIFIC,hfls.org,3,2,3,3,3,14,
grants-for-organic-transition,Grants for Organic Transition,California Certified Organic Farms (CCOF),Grant,https://ambrook.com/funding/grants-for-organic-transition,OK,2026-07-23,Closed Dec 10,Closed Dec 10,"$30,000",EXPLICIT,SPECIFIC,ccof.org,3,3,3,3,3,15,
svs,Grass Fed Small & Very Small Producer Program,Agricultural Marketing Service (AMS),Discount,https://ambrook.com/funding/svs,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,ams.usda.gov,3,2,3,1,3,12,only dollar figure is a $155/hour applicant fee
grazing-lands-conservation-initiative,Grazing Lands Conservation Initiative (GLCI),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/grazing-lands-conservation-initiative,OK,2026-07-23,Closed May 26,Closed May 26,"$1,000,000",PROSE,SPECIFIC,grants.gov,3,3,3,3,2,14,
steltenpohl-pragamatic-visionary-award,Greg Steltenpohl Pragmatic Visionary Award,Community Foundation Sonoma County,Grant,https://ambrook.com/funding/steltenpohl-pragamatic-visionary-award,OK,2026-07-23,Closed Jan 18,Closed Jan 18,"$100,000",EXPLICIT,SPECIFIC,pragmaticvisionaryaward.org,3,3,3,3,3,15,
grow-maine-direct-loan-program,Grow Maine Small Business Loan & Capital Direct Loan Program,Finance Authority of Maine (FAME),Loan,https://ambrook.com/funding/grow-maine-direct-loan-program,OK,2026-07-23,-,ABSENT,"$5,000,000",EXPLICIT,SPECIFIC,famemaine.com,3,2,3,3,3,14,
growing-marketing-and-measuring-the-climate-smart-impacts-of-organic-grain-field-crops,"Growing, Marketing, and Measuring the Climate-Smart Impacts of Organic Grain & Field Crops",Marbleseed,Grant,https://ambrook.com/funding/growing-marketing-and-measuring-the-climate-smart-impacts-of-organic-grain-field-crops,OK,2026-07-23,-,ABSENT,"$4,500,000 total",PROSE,SPECIFIC,marbleseed.org,3,2,3,2,2,12,body says at capacity for 2026 but no status shown
guaranteed-farm-loans,Guaranteed Farm Loans,Farm Service Agency (FSA),Loan,https://ambrook.com/funding/guaranteed-farm-loans,OK,2025-10-03,-,ABSENT,"$1,776,000",EXPLICIT,GENERIC,fsa.usda.gov,3,2,2,3,3,13,gov links go to lender list not the program page
hardship-assistance-fund,Hardship Assistance Fund,California Certified Organic Farms (CCOF),Grant,https://ambrook.com/funding/hardship-assistance-fund,OK,2026-07-23,Due Sep 25,Due Sep 25,"$20,000",EXPLICIT,NONE,ABSENT,3,3,1,3,3,13,no outbound source link
harvest-returns,Harvest Returns,Harvest Returns,Fundraising,https://ambrook.com/funding/harvest-returns,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,harvestreturns.com,3,2,3,2,3,13,"only average check size, no max"
hawaii-alternative-energy-loan-program,Hawaii Alternative Energy Loan Program,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,https://ambrook.com/funding/hawaii-alternative-energy-loan-program,OK,2026-07-23,-,ABSENT,"$1,500,000",EXPLICIT,GENERIC,dab.hawaii.gov,3,2,2,3,3,13,source link is a loan-forms page
hawaii-aquaculture-loans,Hawaii Aquaculture Loans,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,https://ambrook.com/funding/hawaii-aquaculture-loans,OK,2026-07-23,-,ABSENT,"$400,000",EXPLICIT,GENERIC,dab.hawaii.gov,3,2,2,3,3,13,source link is a loan-forms page
hawaii-food-manufacturing-loans,Hawaii Food Manufacturing Loans,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,https://ambrook.com/funding/hawaii-food-manufacturing-loans,OK,2026-07-23,-,ABSENT,"$500,000",EXPLICIT,GENERIC,dab.hawaii.gov,3,2,2,3,3,13,source link is a loan-forms page
hawaii-new-farmer-loan,Hawaii New Farmer Loan,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,https://ambrook.com/funding/hawaii-new-farmer-loan,OK,2026-07-23,-,ABSENT,"$250,000",EXPLICIT,GENERIC,dab.hawaii.gov,3,2,2,3,3,13,source link is a loan-forms page
hawaii-part-time-farmer-loan,Hawaii Part-Time Farmer Loan,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,https://ambrook.com/funding/hawaii-part-time-farmer-loan,OK,2025-08-30,-,ABSENT,"$25,000",EXPLICIT,NONE,ABSENT,3,2,1,3,3,12,no outbound source link
hawaii-qualified-farmer-loan,Hawaii Qualified Farmer Loan,Hawaii Department of Agriculture & Biosecurity (DAB),Loan,https://ambrook.com/funding/hawaii-qualified-farmer-loan,OK,2026-07-23,-,ABSENT,"$800,000",EXPLICIT,GENERIC,dab.hawaii.gov,3,2,2,3,3,13,source link is a loan-forms page
healthy-food-financing-initiative,Healthy Food Financing Initiative,U.S. Department of Agriculture (USDA),Grant,https://ambrook.com/funding/healthy-food-financing-initiative,OK,2026-07-23,-,ABSENT,"grants $20,000-$250,000",EXPLICIT,SPECIFIC,investinginfood.com,3,2,3,3,3,14,agency listed as USDA but no .gov source link
hfrp,Healthy Forests Reserve Program,Natural Resources Conservation Service (NRCS),Easement,https://ambrook.com/funding/hfrp,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,nrcs.usda.gov,3,2,3,1,3,12,NRCS link uses retired wps/portal path
heirs-property-relending-program,Heir's Property Relending Program,Farm Service Agency (FSA),Loan,https://ambrook.com/funding/heirs-property-relending-program,OK,2026-07-23,-,two-month signup window in late August,"$600,000",EXPLICIT,SPECIFIC,farmers.gov,3,2,3,3,3,14,signup window given as late August with no year
farm-credit-east-scholarship-program,Higher Education Scholarship Program,Farm Credit East,Grant,https://ambrook.com/funding/farm-credit-east-scholarship-program,OK,2026-07-23,Closed Mar 16,Closed Mar 16,"$5,000",EXPLICIT,SPECIFIC,farmcrediteast.com,3,3,3,3,3,15,
hfil,Highly Fractionated Indian Land Loan Program (HFIL),Farm Service Agency (FSA),Loan,https://ambrook.com/funding/hfil,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,1,3,12,no funding information
agchoice-farm-startup-grant,"Horizon Farm Credit Young, Beginning, and Small (YBS) Farmer Grant Program",Horizon Farm Credit,Grant,https://ambrook.com/funding/agchoice-farm-startup-grant,OK,2026-07-23,Aug 21,Aug 21,"$20,000",EXPLICIT,SPECIFIC,horizonfc.com,3,3,3,3,3,15,listing chip Aug 21 carries no year and no Due/Closed label
id-scbgp,Idaho Specialty Crop Block Grant Program,Idaho State Department of Agriculture (ISDA),Grant,https://ambrook.com/funding/id-scbgp,OK,2026-07-23,Closed Mar 8,Closed Mar 8,ABSENT,PROSE,SPECIFIC,agri.idaho.gov,3,3,3,1,2,12,no funding amount
il-cover-crop,Illinois Cover Crop Premium Discount Program,Illinois Department of Agriculture (IDOA),Discount,https://ambrook.com/funding/il-cover-crop,OK,2026-07-23,Closed Jan 15,Closed Jan 15,up to $5 per acre,EXPLICIT,SPECIFIC,agr.illinois.gov,3,3,3,3,3,15,
illinois-finance-authority-beginning-farmer-bond-program,Illinois Finance Authority First-Time Farmer Bond Program,Illinois Financial Authority (IFA),Loan,https://ambrook.com/funding/illinois-finance-authority-beginning-farmer-bond-program,OK,2025-12-04,-,ABSENT,"$667,500",EXPLICIT,GENERIC,il-fa.com,3,2,2,3,3,13,only link is an application PDF
increasing-farm-resource-efficiency-by-utilizing-on-site-post-production-food-byproducts-into-innovative-fertilizers-and-climate-smart-commodities,Increasing Farm Resource Efficiency ... Innovative Fertilizers and Climate-Smart Commodities,Re-Nuble,Grant,https://ambrook.com/funding/increasing-farm-resource-efficiency-by-utilizing-on-site-post-production-food-byproducts-into-innovative-fertilizers-and-climate-smart-commodities,OK,2026-07-23,-,ABSENT,"$4,697,000 total",PROSE,SPECIFIC,re-nuble.com,3,2,3,2,2,12,no per-award amount
itlap,Indian Tribal Land Acquisition Loan Program (ITLAP),Farm Service Agency (FSA),Loan,https://ambrook.com/funding/itlap,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,1,3,12,two usda.gov links use retired wps/portal paths
indiana-friend-of-conservation-award,Indiana Friend of Conservation Award,Indiana Association of Soil and Water Conservation Districts,Grant,https://ambrook.com/funding/indiana-friend-of-conservation-award,OK,2026-07-23,Closed Mar 31,Closed Mar 31,ABSENT,PROSE,SPECIFIC,iaswcd.org,3,1,3,1,2,10,nomination period October 1 to March 31 has no year
great-lakes-restoration-initiative,Integrated Atmospheric Deposition Network,Great Lakes Restoration Initiative,Grant,https://ambrook.com/funding/great-lakes-restoration-initiative,OK,2026-07-23,Closed May 6,Closed May 6,"$7,200,000 total",EXPLICIT,SPECIFIC,epa.gov,3,3,3,2,3,14,timeline lines March 7 and May 6 have no year
ia-100,Iowa Century and Heritage Farm Programs,Iowa Department of Agriculture & Land Stewardship (IDALS),Discount,https://ambrook.com/funding/ia-100,OK,2026-07-23,Closed Jun 1,Closed Jun 1,ABSENT,EXPLICIT,SPECIFIC,iowaagriculture.gov,3,3,3,1,3,13,no funding amount
ia-crop-insurance-discount-program,Iowa Crop Insurance Discount Program,Iowa Department of Agriculture & Land Stewardship (IDALS),Grant,https://ambrook.com/funding/ia-crop-insurance-discount-program,OK,2026-07-23,-,ABSENT,up to $5/acre,PROSE,GENERIC,cleanwateriowa.org,3,2,2,3,2,12,no IDALS .gov source link
iowa-finance-authority-beginning-farmer-loan-program,Iowa Finance Authority Beginning Farmer Loan Program,Iowa Finance Authority,Loan,https://ambrook.com/funding/iowa-finance-authority-beginning-farmer-loan-program,OK,2026-07-23,-,by the first of the month,"$682,700",EXPLICIT,SPECIFIC,iowafinance.com,3,3,3,3,3,15,
ia-ipcp,Iowa Incentive Payments for Conservation Practices,Iowa Department of Agriculture & Land Stewardship (IDALS),Cost Share,https://ambrook.com/funding/ia-ipcp,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,iowaagriculture.gov,3,2,3,1,3,12,typed Cost Share but no rate or amount
ia-scbgp,Iowa Specialty Crop Block Grant Program,Iowa Department of Agriculture & Land Stewardship (IDALS),Grant,https://ambrook.com/funding/ia-scbgp,OK,2026-07-23,Closed Mar 6,Closed Mar 6,"$30,000",EXPLICIT,SPECIFIC,iowaagriculture.gov,3,3,3,3,3,15,
iowa-state-revolving-loan-fund,Iowa State Revolving Loan Fund,Iowa Department of Agriculture & Land Stewardship (IDALS),Loan,https://ambrook.com/funding/iowa-state-revolving-loan-fund,OK,2026-07-23,-,applications accepted year round,"$500,000 per borrower",PROSE,GENERIC,iowaagriculture.gov,3,3,2,3,2,13,only agency link is an application PDF
iowa-stormwater-best-management-practice-loans,Iowa Stormwater Best Management Practice Loans,Iowa Department of Agriculture & Land Stewardship (IDALS),Loan,https://ambrook.com/funding/iowa-stormwater-best-management-practice-loans,OK,2026-07-23,-,Applications accepted anytime,up to 100% of costs,PROSE,GENERIC,iowaagriculture.gov,3,3,2,2,2,12,percentage with no cap
iowa-tribe-center-for-excellence-in-regenerative-native-agriculture-(cerna)-innovation-pilot-program,Iowa Tribe Center for Excellence in Regenerative Native Agriculture (CERNA) Innovation Pilot Program,Iowa Tribe of Kansas and Nebraska,Grant,https://ambrook.com/funding/iowa-tribe-center-for-excellence-in-regenerative-native-agriculture-(cerna)-innovation-pilot-program,OK,2026-07-23,-,ABSENT,"$4,999,700 total",PROSE,GENERIC,cerna.org,3,2,2,2,2,11,no per-award amount
iowa-urban-conservation-projects-grant,Iowa Urban Conservation Projects Grant,Iowa Department of Agriculture & Land Stewardship (IDALS),Grant,https://ambrook.com/funding/iowa-urban-conservation-projects-grant,OK,2026-07-23,Closed May 22,Closed May 22,not to exceed 50% cost,EXPLICIT,GENERIC,iowaagriculture.gov,3,1,2,2,3,11,status Closed May 22 2026 contradicts body timeline from 2023-2024
john-may-farm-safety-fund,John May Farm Safety Fund,New York Center for Agricultural Medicine and Health (NYCAMH),Cost Share,https://ambrook.com/funding/john-may-farm-safety-fund,OK,2026-07-28,-,submitted at any time,"50% max $5,000",EXPLICIT,SPECIFIC,nycamh.org,3,3,3,3,3,15,
jclrp,Joint Chiefs' Landscape Restoration Partnership,Forest Service (FS),"Grant, Cost Share",https://ambrook.com/funding/jclrp,OK,2026-07-23,-,ABSENT,"$55,000,000 total",ABSENT,SPECIFIC,nrcs.usda.gov,3,2,3,3,1,12,no eligibility information
kansas-development-finance-authority-beginning-farmer-bond-program,Kansas Development Finance Authority Beginning Farmer Bond Program,Kansas Development Finance Authority,Loan,https://ambrook.com/funding/kansas-development-finance-authority-beginning-farmer-bond-program,OK,2025-07-10,-,ABSENT,"$649,400 cap",EXPLICIT,SPECIFIC,kdfa.org,2,2,3,3,3,13,last updated over 12 months ago
kentucky-agricultural-finance-corporation-beginning-farmer-loan-program,Kentucky Agricultural Finance Corporation Beginning Farmer Loan Program,Kentucky Department of Agriculture (KYDA),Loan,https://ambrook.com/funding/kentucky-agricultural-finance-corporation-beginning-farmer-loan-program,OK,2026-01-28,-,ABSENT,"$250,000",EXPLICIT,SPECIFIC,kyagr.com,3,2,3,3,3,14,
ky-hort-gap,Kentucky Horticulture Council Third Party GAPs Audit Cost-Share Grant,Kentucky Horticulture Council,Cost Share,https://ambrook.com/funding/ky-hort-gap,OK,2026-07-23,Closed Dec 15,"Closed December 15, 2025","75% max $1,250",EXPLICIT,SPECIFIC,kyagr.com,3,3,3,3,3,15,
ky-proud-promotional,Kentucky Proud Promotional Grant,Kentucky Department of Agriculture (KYDA),Grant,https://ambrook.com/funding/ky-proud-promotional,OK,2026-07-23,-,due last day of the month,"$8,000 max",EXPLICIT,SPECIFIC,kyagr.com,3,3,3,3,3,15,
ky-sftc,Kentucky Selling Farmer Tax Credit Program,Kentucky Cabinet for Economic Development,Grant,https://ambrook.com/funding/ky-sftc,OK,2026-07-23,-,within twelve months after sale,up to 5% of sale price,EXPLICIT,SPECIFIC,cedky.com,3,3,3,3,3,15,
kentucky-small-scale-farm-grant,Kentucky Small Scale Farm Grant,Kentucky State University (KYSU),Grant,https://ambrook.com/funding/kentucky-small-scale-farm-grant,OK,2026-07-23,-,ABSENT,"$5,000 per application",EXPLICIT,SPECIFIC,kysu.edu,3,2,3,3,3,14,refers to application periods but shows no dates
ky-wia-cs,Kentucky Women in Agriculture College Scholarship,Kentucky Women In Agriculture (KYWIA),Grant,https://ambrook.com/funding/ky-wia-cs,OK,2026-07-27,Closed Jun 30,"Closed June 30, 2026","$1,000",EXPLICIT,SPECIFIC,kywomeninag.com,3,3,3,3,3,15,
kiva-loan,Kiva Loans,Kiva,Loan,https://ambrook.com/funding/kiva-loan,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,kiva.org,3,2,3,1,3,12,no funding amount
lakewinds-organic-field-fund,Lakewinds Organic Field Fund,Lakewinds Food Co-op,Grant,https://ambrook.com/funding/lakewinds-organic-field-fund,OK,2026-07-23,Opens Jan 1,accepted January 1-31 each year,"$8,000 per farm",EXPLICIT,NONE,ABSENT,3,3,1,3,3,13,no outbound source link
launching-the-north-valley-food-hub-for-climate-smart-agriculture,Launching The North Valley Food Hub for Climate-Smart Agriculture,Chico State Enterprises,Grant,https://ambrook.com/funding/launching-the-north-valley-food-hub-for-climate-smart-agriculture,OK,2026-07-10,-,ABSENT,"$4,999,800 total",PROSE,SPECIFIC,csuchico.edu,3,2,3,3,2,13,
ut-clcp,LeRay McAllister Working Farm and Ranch Fund,Utah Department of Agriculture and Food (UDAF),Grant,https://ambrook.com/funding/ut-clcp,OK,2026-07-23,-,ABSENT,"$3,000,000 total",EXPLICIT,SPECIFIC,ag.utah.gov,3,2,3,3,3,14,no per-applicant maximum
leopold-conservation-award,Leopold Conservation Award,Sand County Foundation,Grant,https://ambrook.com/funding/leopold-conservation-award,OK,2026-07-23,-,deadlines in beginning of calendar year,"$10,000",PROSE,SPECIFIC,sandcountyfoundation.org,3,2,3,3,2,13,no actual deadline date
lesser-prairie-chicken-initiative,Lesser Prairie-Chicken Initiative,Working Lands for Wildlife,Grant,https://ambrook.com/funding/lesser-prairie-chicken-initiative,OK,2026-07-23,-,ABSENT,covers part of the cost,EXPLICIT,SPECIFIC,nrcs.usda.gov,3,2,3,2,3,13,no dollar figure or percentage
livestock-conservancy-emergency-response-fund,Livestock Conservancy Emergency Response Fund,The Livestock Conservancy,Grant,https://ambrook.com/funding/livestock-conservancy-emergency-response-fund,OK,2026-07-23,-,ABSENT,"$1,000",PROSE,GENERIC,livestockconservancy.org,3,2,2,3,2,12,
livestock-conservancy-microgrant-program,Livestock Conservancy Heritage Livestock Microgrant Program,The Livestock Conservancy,Grant,https://ambrook.com/funding/livestock-conservancy-microgrant-program,OK,2025-08-29,Due Aug 15,"Closed August 15, 2024","$500-$2,000",EXPLICIT,GENERIC,livestockconservancy.org,3,3,2,3,3,14,listing shows Due Aug 15 but page shows Closed August 15 2024
lfp,Livestock Forage Disaster Program (LFP),Farm Service Agency (FSA),Grant,https://ambrook.com/funding/lfp,OK,2026-07-23,-,within 30 days after end of calendar year,"$125,000 limit",EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,3,3,15,
lip,Livestock Indemnity Program (LIP),Farm Service Agency (FSA),Grant,https://ambrook.com/funding/lip,OK,2026-07-23,-,notice of loss within 30 days,75% of market value,EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,2,3,14,percentage with no cap
lamp,Local Agriculture Market Program,Agricultural Marketing Service (AMS),Grant,https://ambrook.com/funding/lamp,OK,2026-06-29,Closed Jun 5,"Closed June 5, 2026","$32,400,000 total",ABSENT,SPECIFIC,ams.usda.gov,3,3,3,3,1,13,no eligibility information
lfpp,Local Food Promotion Program,Agricultural Marketing Service (AMS),Grant,https://ambrook.com/funding/lfpp,OK,2026-07-23,Closed Jun 5,"Closed June 5, 2026","$500,000 maximum",EXPLICIT,SPECIFIC,ams.usda.gov,3,3,3,3,3,15,
