name,slug,agency,type,deadline_text
Nebraska Investment Finance Authority: Beginning Farmer and Rancher Program,nifa,Nebraska Investment Finance Authority (NIFA),Loan,-
Nevada Specialty Crop Block Grant Program,nevada-specialty-crop-block-grant-program,Nevada Department of Agriculture (NDA),Grant,Closed Mar 31
New England Climate-Smart Forest Partnership Project,new-england-climate-smart-forest-partnership-project,New England Forestry Foundation,Grant,-
New York Dairy Promotion Order Research Grant,ny-dairy-promotion-research-grant,New York Department of Agriculture and Markets (NYDAM),Grant,Closed Aug 15
New York Farm Viability Grant Program,ny-farm-viability-grant-program,New York Farm Viability Institute (NYFVI),Grant,Closed Oct 24
New York Farmland Protection Implementation Grants,ny-farmland-protection-grants,New York Department of Agriculture and Markets (NYDAM),Easement,-
New York Soil Health Mini-Grant,nys-shmg,New York Soil Health,Grant,Closed May 1
New York State Historic Barn Rehabilitation Tax Credit,ny-historic-barn-rehabilitation-tax-credit,"New York State Office of Parks, Recreation, and Historical Preservation",Cost Share,-
New York State Small Business Revolving Loan Fund Round 2,NY-state-small-business-revolving-loan-fund,Empire State Development,Loan,-
New York State's Urban Farms and Community Gardens Grant Program,new-york-state%E2%80%99s-urban-farms-and-community-gardens-grant-program,New York Department of Agriculture and Markets (NYDAM),Grant,Closed Sep 5
New York Watershed Micro Grants Program,ny-wmgp,New York City Watershed Agricultural Council,Grant,-
New York Young Farmers Loan Forgiveness Incentive Program,ny-loan-forgiveness,New York Higher Education Services Corporation (NYHESC),Grant,Closed Jan 1
Noninsured Disaster Assistance Program (NAP),nap,Farm Service Agency (FSA),Insurance,-
North Carolina AgVentures Grant Program,nc-agventures-grant-program,North Carolina Tobacco Trust Fund Commission,Grant,Opens Oct 15
North Central SARE Farmer Rancher Grant,nc-sare-farmer-rancher,Sustainable Agriculture Research and Education (SARE),Grant,Closed Dec 1
North Central SARE Graduate Student Grant,nc-sare-graduate-student,Sustainable Agriculture Research and Education (SARE),Grant,Closed May 18
North Central SARE Partnership Grant,nc-sare-partnership,Sustainable Agriculture Research and Education (SARE),Grant,Closed Oct 17
North Central SARE Professional Development Grant,nc-sare-professional-development,Sustainable Agriculture Research and Education (SARE),Grant,Closed Apr 2
North Central SARE Research and Education Grant,nc-sare-research-and-education,Sustainable Agriculture Research and Education (SARE),Grant,Closed Dec 4
North Central SARE Youth Educator Grant,nc-sare-youth-educator,Sustainable Agriculture Research and Education (SARE),Grant,Closed Feb 12
North Dakota Agriculture Diversification and Development Fund,nd-addf,Bank of North Dakota (BND),"Grant, Loan",-
North Dakota Organic Certification Cost Share Program,north-dakota-organic-certification-cost-share-program,North Dakota Department of Agriculture (NDDA),Cost Share,Closed Nov 15
North Dakota Organic Education and Transition Cost Share Program,north-dakota-organic-education-and-transition-cost-share-program,North Dakota Department of Agriculture (NDDA),Cost Share,-
North Dakota Soil Health Cover Crop Grant Program,nd-soil-health-cover-crop-grant-program,North Dakota Department of Agriculture (NDDA),Cost Share,-
Northeast AgEnhancement Grant,northeast-agenhancement-grants,Farm Credit East,Grant,-
Northeast SARE Farmer Grant Program,ne-sare-farmer,Sustainable Agriculture Research and Education (SARE),Grant,Closed May 1
Northeast SARE Graduate Student Research Grant Program,ne-sare-graduate-student-research,Sustainable Agriculture Research and Education (SARE),Grant,Closed Apr 16
Northeast SARE Partnership Grant Program,ne-sare-partnership,Sustainable Agriculture Research and Education (SARE),Grant,Closed Apr 9
Northeast SARE Professional Development Grant Program,ne-sare-professional-development,Sustainable Agriculture Research and Education (SARE),Grant,Closed Feb 2
Northeast SARE Research and Education Grant Program,ne-sare-research-and-education,Sustainable Agriculture Research and Education (SARE),Grant,Closed Feb 2
Northeast SARE Research for Novel Approaches in Sustainable Agriculture Grant Program,ne-sare-novel-sustainable,Sustainable Agriculture Research and Education (SARE),Grant,Closed Feb 2
Northern New York Agricultural Development Small Grants Program,NNYADP-SGP,New York Department of Agriculture and Markets (NYDAM),Grant,Closed Oct 31
Nursery Value Select Coverage,nursery-value-select,Risk Management Agency (RMA),Insurance,-
Off-Farm Labor Housing Direct Loans and Grants,farm-labor-housing,Rural Development (RD),"Grant, Loan",Closed Jul 3
Ohio Agriculture Growing Tomorrow Grants,ohio-agriculture-growing-tomorrow,Ohio Farm Bureau Foundation (OFBF),Grant,Closed Jul 31
Ohio Specialty Crop Producer Block Grant,oh-scpbg,Ohio Department of Agriculture (ODA),Grant,Closed May 1
Oklahoma Resilient Food Systems Infrastructure Program,oklahoma-resilient-food-systems-program,"Oklahoma Department of Agriculture, Food and Forestry (ODAFF)",Grant,-
Oklahoma Specialty Crop Block Grant Program,ok-scbgp,"Oklahoma Department of Agriculture, Food and Forestry (ODAFF)",Grant,Closed Feb 27
Oklahoma Viticulture and Enology Fund,ok-vef,"Oklahoma Department of Agriculture, Food and Forestry (ODAFF)",Grant,Closed Aug 20
Open Data Framework,open-data-framework,National Institute of Food and Agriculture (NIFA),Grant,Closed Jun 26
Oregon Aggie Bond Program,oregon-aggie-bond-program,Business Oregon,Loan,-
Oregon Noxious Weed Grant Program,oregon-weed-grant,Oregon State Weed Board (OSWB),Grant,Closed Dec 19
Oregon Specialty Crop Block Grant Program,oregon-specialty-crop-block-grant-program,Oregon Department of Agriculture,Grant,-
Oregon Watershed Enhancement Board Small Grant,oregon-watershed-enhancement-small-grant,Oregon Watershed Enhancement Board (OWEB),Grant,Due Apr 15
Organic Agriculture Research and Extension Initiative,orei,National Institute of Food and Agriculture (NIFA),Grant,Closed May 14
Organic Certification Cost Share Program (OCCSP),occsp,Farm Service Agency (FSA),"Grant, Cost Share",Due Dec 31
Organic Dairy Marketing Assistance Program (ODMAP),omdap,Farm Service Agency (FSA),Grant,Closed Dec 13
Organic Market Development Grant,omdg,Agricultural Marketing Service (AMS),Grant,Closed Aug 8
Organic Transition Initiative Direct Farmer Assistance (OTI),otidfa,Natural Resources Conservation Service (NRCS),Grant,-
Partnerships for Climate-Smart Commodities (CSC),partnerships-for-climate-smart-commodities,Natural Resources Conservation Service (NRCS),Grant,Closed Jun 10
"Pasture, Rangeland, Forage Pilot Insurance Program",prf-pilot-insurance-program,Risk Management Agency (RMA),Insurance,-
Pennsylvania Farm Vitality Planning Grant,pennsylvania-farm-vitality-planning-grant,Pennsylvania Department of Agriculture,Grant,-
Pennsylvania Next Generation Farmer Loan Program,pennsylvania-next-generation-farmer-loan-program,Pennsylvania Department of Community & Economic Development,Loan,-
Pennsylvania Small Business Advantage Grant,pa-small-bus-adv,Pennsylvania Department of Environmental Protection (PA DEP),Grant,Closed Mar 13
Plank Stewardship Initiative,plank-stewardship-initiative,Plank Stewardship Initiative (PSI),Grant,Closed Feb 16
Plank Stewardship Initiative Short Notice Grant,plank-steward-short-notice,Plank Stewardship Initiative (PSI),Grant,-
Potato Breeding Research Program,potato-breeding-research-program,National Institute of Food and Agriculture (NIFA),Grant,Closed Aug 14
Proximity Climate-Smart Partnership,proximity-climate-smart-partnership,Proximity Malt,Grant,-
Recognizing the Role of Buffalo Production as a Climate-Smart Commodity,recognizing-the-role-of-buffalo-production-as-a-climate-smart-commodity,InterTribal Buffalo Council,Grant,Closed Apr 14
Regenerative Pilot Program,regen-pilot-program,Natural Resources Conservation Service (NRCS),Cost Share,-
Regional Conservation Partnership Program (RCPP),rcpp,Natural Resources Conservation Service (NRCS),Easement,Due Aug 24
Regional Food System Partnerships,rfsp,Agricultural Marketing Service (AMS),Grant,Closed Jun 5
Reimbursement Transportation Cost Payment (RTCP),reimbursement-transportation-cost-payment,Farm Service Agency (FSA),Grant,Closed Sep 30
Rhode Island Local Ag & Seafood Act Grant,lasa,Rhode Island Department of Environmental Management (RI DEM),Grant,Closed Dec 5
Rhode Island Specialty Crop Block Grant Program,de-scbgp,Rhode Island Department of Environmental Management (RI DEM),Grant,Closed Feb 28
Rice Stewardship Partnership for Climate-Smart Commodities,rice-stewardship-partnership-for-climate-smart-commodities,USA Rice Federation,Grant,Closed Aug 30
Rural Cooperative Development Grants,rural-cooperative-development-grants,National Institute of Food and Agriculture (NIFA),Grant,Closed Sep 15
Rural Decentralized Water Systems Grant Program,rdwsgp,Rural Development (RD),Grant,Closed Dec 1
Rural Microentrepreneur Assistance Program,rmap,Rural Development (RD),Loan,-
Sage Grouse Initiative (SGI),sage-grouse-initiative,Natural Resources Conservation Service (NRCS),Grant,-
Santa Fe Farmers' Market Institute Micro-Loans,santa-fe-farmers-market-institute-micro-loans,Santa Fe Farmers' Market Institute (SFFMI),Loan,-
SecondCrop,secondcrop,Loam Bio,Environmental Market,-
Sheep Production and Marketing Grant Program,spmgp,Agricultural Marketing Service (AMS),Grant,Due Oct 2
Sky High Farm Grant,sky-high-farm-grant,Sky High Farm,Grant,Closed Jan 20
Small Business Administration Disaster Assistance,sba-disaster-assistance,Small Business Administration (SBA),Loan,-
Small Business Association Loans,sba-loans,Small Business Administration (SBA),Loan,-
Small Business Innovation Research Program Phase 2,sbir-2,National Institute of Food and Agriculture (NIFA),Grant,Closed Sep 23
Solar Massachusetts Renewable Target Program,solar-massachusetts-renewable-target,MA-DOER,Solar Power,-
Southern Maryland Farmer Mini-Grant Program,smd-mini-grant,Southern Maryland Agricultural Development Commission (SMADC),Grant,Closed Dec 31
Southern Maryland Revolving Loan Fund for Agricultural & Shellfish Aquaculture Producers,southern-maryland-revolving-loan-fund-for-agricultural-and-shellfish-aquaculture-producers,Southern Maryland Agricultural Development Commission (SMADC),Loan,-
Southern SARE Graduate Student Grant,s-sare-graduate-student,Sustainable Agriculture Research and Education (SARE),Grant,Closed May 8
Southern SARE On-Farm Research Grant,s-sare-onfarm-research,Sustainable Agriculture Research and Education (SARE),Grant,Closed Nov 22
Southern SARE Producer Grant,s-sare-producer,Sustainable Agriculture Research and Education (SARE),Grant,Closed Dec 5
Southern SARE Professional Development Program,s-sare-professional-development,Sustainable Agriculture Research and Education (SARE),Grant,Closed Nov 14
Southern SARE Research and Education Grant,s-sare-research-and-education,Sustainable Agriculture Research and Education (SARE),Grant,Closed Nov 21
Specialty Crop Research Initiative,specialty-crop-research-initiative,National Institute of Food and Agriculture (NIFA),Grant,Closed Jun 15
Steward Loans,steward,Steward,Loan,-
Stewardship Assistance and Restoration on APRs,sara,Massachusetts Department of Agricultural Resources (MDAR),Grant,Closed Apr 14
Sugar Storage Facility Loan Program (SSFL),ssfl,Farm Service Agency (FSA),Loan,-
Tennessee Agricultural Enhancement Program,tennessee-agricultural-enhancement-program,Tennessee Department of Agriculture (TDA),Cost Share,Closed Oct 7
Tennessee Agricultural Enterprise Fund,tn-ag-enterprise-fund,Tennessee Department of Agriculture (TDA),Grant,Due Oct 10
Tennessee Farmer Relief Fund,tennessee-farmer-relief-fund,Tennessee Local Food,Grant,-
Tennessee Grain Indemnity Fund,tn-gif,Tennessee Department of Agriculture (TDA),Insurance,-
Texas Agriculture Grant (YFGP),yfgp,Texas Department of Agriculture (TXDA),Grant,Closed Apr 17
Texas Conservation and Sustainability Initiative,texas-climate-smart-initiative,Texas A&M Agrilife Research,Grant,-
Texas STAR Fund,star,Texas Department of Agriculture (TXDA),"Cost Share, Grant",-
Texas Young Farmer Interest Rate Reduction Program,yfirr,Texas Agricultural Finance Authority (TAFA),Discount,-
The Bobolink Project,the-bobolink-project,Massachusetts Audubon Society,Easement,Closed Mar 15
The Brighter Future Fund's New England Regenerative Livestock Farming Grant,ne-rlf,American Farmland Trust (AFT),Grant,Closed Nov 24
The Carrot Project Farm and Food Loan Fund,carrot-farm-and-food-loan,The Carrot Project,Loan,-
The Climate-Smart Agriculture Innovative Finance Initiative,the-climate-smart-agriculture-innovative-finance-initiative,Field to Market,Grant,Closed Apr 14
The Good Acre Local Emergency Assistance Farmer Fund,the-good-acre-local-emergency-assistance-farmer-fund,The Good Acre,Grant,Closed Feb 1
The Growing GRASS & Climate-Smart Value-Added U.S. Commodity Markets Project,the-growing-grass-climate-smart-value-added-us-commodity-markets-project,American Sustainable Business Institute,Grant,-
The Working Farms Fund,the-working-farms-fund,The Conservation Fund (TCF),Grant,-
Transforming the Farmer-to-Consumer Supply Chain with Climate-Smart Agriculture Partnerships,transforming-the-farmer-to-consumer-supply-chain-with-climate-smart-agriculture-partnerships,Carbon A List,Grant,-
Transition to Organic Partnership Program,topp,Agricultural Marketing Service (AMS),Education,-
Tree Assistance Program (TAP),tap,Farm Service Agency (FSA),Grant,-
"Urban, Indoor, and Emerging Agriculture Grant",uae-agriculture-grant,National Institute of Food and Agriculture (NIFA),Grant,Closed Jul 27
Utah Emergency Disaster Relief Loan Program,ut-emergency-disaster-relief-loan-program,Utah Department of Agriculture and Food (UDAF),Loan,-
Utah Food Security Processing Grant,UFSG,Utah Department of Agriculture and Food (UDAF),Grant,Closed Jun 8
Utah Grazing Improvement Program,ut-grazing-improvement-program,Utah Department of Agriculture and Food (UDAF),Cost Share,Closed Dec 31
Utah Invasive Species Mitigation Program Application,ut-invasive-species,Utah Department of Agriculture and Food (UDAF),Grant,Closed Mar 20
Utah Pollinator Habitat Program,ut-pollinator-habitat-program,Utah Department of Agriculture and Food (UDAF),Discount,Closed Apr 15
Utah Salinity and Groundwater Program,utah-salinity-and-groundwater-program,Utah Department of Agriculture and Food (UDAF),Grant,Due Sep 1
Value-Added Producer Grant,vapg,Rural Development (RD),Grant,Closed Apr 15
Venmo Small Business Grant,venmo-small-business-grant,Venmo,Grant,Closed Aug 7
Vermont Agricultural Credit Corporation Loans,vacc-loans,Vermont Economic Development Authority (VEDA),Loan,-
Vermont Farm Agronomic Practices Grant,vt-fap,"Vermont Agency of Agriculture, Food & Markets (VAAFM)",Grant,Closed Aug 1
Vermont Farm Fund Business Builder Loan,vtff-business-builder-loan,Vermont Farm Fund (VTFF),Loan,-
Vermont Farm Fund Emergency Loan,vtff-emergeny-loan,Vermont Farm Fund (VTFF),Loan,-
Vermont Farm Fund New Producer Loan,vtff-new-producer-loan,Vermont Farm Fund (VTFF),Loan,-
Vermont Farm and Forest Business Plan Implementation Grant,vt-bipg,Vermont Housing and Conservation Board (VHCB),Grant,Closed May 1
Vermont Farm and Forest Program Business Advising,vt-ffvp-business-advising,Vermont Housing and Conservation Board (VHCB),Discount,-
Vermont Farm and Forest Water Quality Grant,vt-farm-and-forest-water-quality-grant,Vermont Housing and Conservation Board (VHCB),Grant,Closed Jan 14
Vermont Pasture and Surface Water Fencing Program,vermont-pasture-surface-water-fencing-program,"Vermont Agency of Agriculture, Food & Markets (VAAFM)",Grant,-
Vermont Working Lands Business Enhancement Grants,vermont-working-lands-business-grants,State of Vermont,Grant,Closed Dec 11
Vermont Working Lands Service Provider & Producer Association Grants,vtwlg-producer-association-development-grants,Vermont Working Lands Enterprise Initiative (WLEI),Grant,Closed Nov 5
Vermont Working Lands Trade Show Assistance Grants,vermont-working-lands-trade-show-assistance-grants,State of Vermont,Grant,Closed Jan 21
Veterans Affair's Loans for Farms,va-farm-loans,Department of Veterans Affairs (VA),Loan,-
Virginia Food Access Investment Fund Grants,va-food-access-investment-funds-grants,Virginia Department of Agriculture and Consumer Services (VDACS),Grant,Closed Apr 1
Warner Grants for Sustainable Agriculture,warner-grants-for-sustainable-agriculture,The Ohio State University CFAES,Grant,Closed Mar 1
Washington Beginning Farmer/Rancher Program,washington-beginner,Washington State Housing Finance Commission (WSHFC),Loan,-
Washington State Organic and Sustainable Farming Fund,washington-sosff,Tilth Alliance,Grant,Closed Feb 9
Water Conservation Field Services Program,wcfsp,U.S. Bureau of Reclamation (USBR),Cost Share,-
Water Well Trust Water Access Program,water-well-trust-water-access-program,Water Well Trust,Loan,-
WaterSMART Initiative (WSI),watersmart-initiative,Natural Resources Conservation Service (NRCS),Grant,-
Western North Carolina Agricultural Options Program,wnc-agricultural-options-program,North Carolina Tobacco Trust Fund Commission,Grant,Closed Jan 15
Western SARE Farmer/Rancher Grant,western-sare-farmerrancher-grant,Sustainable Agriculture Research and Education (SARE),Grant,Closed Oct 23
Western SARE Graduate Student Grant,w-sare-graduate-student,Sustainable Agriculture Research and Education (SARE),Grant,Closed Mar 6
Western SARE Local Education and Demonstration Grants,w-sare-grassroots,Sustainable Agriculture Research and Education (SARE),Grant,Closed Nov 6
Western SARE Professional + Producer Grant,w-sare-professional-producer,Sustainable Agriculture Research and Education (SARE),Grant,Closed Oct 22
Western SARE Professional Development Grant,w-sare-professional-development,Sustainable Agriculture Research and Education (SARE),Grant,Closed Nov 6
Western SARE Research and Education Grant,w-sare-research-and-education,Sustainable Agriculture Research and Education (SARE),Grant,Closed Jun 15
Western SARE Sabbatical Research and Education Grant,w-sare-sabbatical-research-and-education,Sustainable Agriculture Research and Education (SARE),Grant,Closed Nov 1
Wetland Reserve Easement (WREP),wrep,Natural Resources Conservation Service (NRCS),Easement,-
Whole Farm Revenue Protection,whole-farm-revenue-protection,Risk Management Agency (RMA),Insurance,-
Whole Foods Local Producer Loan Program,wholefoods-local-producer,Whole Foods Market,Loan,-
Wisconsin Dairy Processor Grants,datcp-dairy-processor-grants,Wisconsin DATCP,Grant,Closed Sep 17
Women in Agrifoodtech Directory,ffti-women-in-agtech,From Farms to Incubators,Education,-
Working Lands Enterprise Initiative,WLEI,State of Vermont,Grant,-
Working Lands for Wildlife,wlfw,Natural Resources Conservation Service (NRCS),Grant,-
Youth Loans,youth-loans,Farm Service Agency (FSA),Loan,-
